"","N","NAll","AllRich","HExp"
"Garden",36,70,6.63,0.598
"SR",139,68,6.6309165118679,0.486317959612926
"C",44,65,7.00797246498686,0.634719588700887
"SCr",14,35,6.66062374117235,0.525663099242668
"SCl",27,42,3.61101001928139,0.51126430560854
